generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
0,510,10,0,0,3.552,8.28,0.94,51,1,5,5,0,1,0.01961,80.78,4.0,0.0,-0.51,-20.0,-18.75,-10.0
0,596,10,0,0,5.74,9.97,2.21,160,2,5,5,0,1,0.0125,114.0,8.0,0.0,-1.6,-20.0,-33.0,-10.0
1,1011,10,0,0,15.108,24.13,0.24,261,6,5,3,1,1,0.02299,173.94,24.0,14.0,-2.61,-12.0,-32.25,-14.0
2,1094,10,0,0,19.446,29.76,7.67,318,12,5,3,1,1,0.03774,190.14,48.0,14.0,-3.18,-12.0,-28.5,-14.0
3,896,10,0,0,14.935,29.87,1.15,249,9,5,2,1,1,0.03614,153.84,36.0,16.0,-2.49,-8.0,-30.0,-16.0
4,464,10,0,0,3.787,7.37,-0.46,150,2,5,1,0,1,0.01333,87.12,8.0,0.0,-1.5,-4.0,-33.75,-18.0
5,710,10,0,0,7.45,9.87,5.87,150,3,5,9,0,1,0.02,112.5,12.0,0.0,-1.5,-36.0,-10.5,-2.0
6,925,10,0,0,17.963,26.44,14.44,259,9,5,1,1,1,0.03475,184.22,36.0,20.0,-2.59,-4.0,-36.0,-18.0
7,712,10,0,2,8.646,11.75,2.9,190,4,3,10,0,0,0.02105,128.86,16.0,0.0,-1.9,-40.0,-16.5,0.0
8,678,10,0,0,8.024,11.72,3.72,192,2,5,1,0,1,0.01042,130.66,8.0,0.0,-1.92,-4.0,-34.5,-18.0
9,555,10,0,0,5.732,9.27,2.38,122,3,5,2,0,1,0.02459,102.04,12.0,0.0,-1.22,-8.0,-31.5,-16.0
10,548,10,0,0,6.696,9.07,5.08,114,4,5,0,0,1,0.03509,109.6,16.0,0.0,-1.14,0.0,-37.5,-20.0
11,619,10,0,0,6.249,9.2,3.7,134,3,5,9,0,1,0.02239,114.58,12.0,0.0,-1.34,-36.0,-24.75,-2.0
12,598,10,0,0,3.326,6.19,0.95,94,3,5,9,0,1,0.03191,66.2,12.0,0.0,-0.94,-36.0,-6.0,-2.0
13,510,10,0,0,3.961,8.28,0.47,121,1,5,2,0,1,0.00826,90.82,4.0,0.0,-1.21,-8.0,-30.0,-16.0
14,716,10,0,0,8.566,16.33,1.66,120,3,5,2,0,1,0.025,128.86,12.0,0.0,-1.2,-8.0,-30.0,-16.0
15,717,10,0,0,8.454,13.6,5.6,228,3,5,4,0,1,0.01316,137.32,12.0,0.0,-2.28,-16.0,-34.5,-12.0
16,630,10,0,0,7.531,10.64,3.55,202,3,5,1,0,1,0.01485,121.08,12.0,0.0,-2.02,-4.0,-33.75,-18.0
17,524,10,0,0,2.687,8.55,2.01,137,1,5,9,0,1,0.0073,86.24,4.0,0.0,-1.37,-36.0,-24.0,-2.0
18,641,10,0,0,4.652,8.94,1.82,91,2,5,9,0,1,0.02198,103.68,8.0,0.0,-0.91,-36.0,-26.25,-2.0
19,477,10,0,0,2.447,3.64,1.22,113,0,5,5,0,1,0.0,78.1,0.0,0.0,-1.13,-20.0,-22.5,-10.0
20,608,10,0,0,7.019,10.2,6.2,191,2,5,0,0,1,0.01047,121.6,8.0,0.0,-1.91,0.0,-37.5,-20.0
21,480,10,0,0,4.521,7.69,3.69,129,2,5,0,0,1,0.0155,96.0,8.0,0.0,-1.29,0.0,-37.5,-20.0
22,491,10,0,0,4.735,7.9,3.9,135,2,5,0,0,1,0.01481,98.2,8.0,0.0,-1.35,0.0,-37.5,-20.0
23,440,10,0,0,2.907,2.97,2.9,143,0,5,0,0,1,0.0,88.0,0.0,0.0,-1.43,0.0,-37.5,-20.0
24,558,10,0,0,5.666,9.22,5.22,144,1,5,0,0,1,0.00694,111.6,4.0,0.0,-1.44,0.0,-37.5,-20.0
25,271,10,0,5,-0.216,1.42,-0.48,36,0,0,10,0,0,0.0,38.2,0.0,0.0,-0.36,-40.0,0.0,0.0
26,544,10,0,0,2.804,5.13,0.88,1,0,5,7,0,1,0.0,74.8,0.0,0.0,-0.01,-28.0,-12.75,-6.0
27,438,10,0,3,2.538,3.26,1.02,0,0,2,10,0,0,0.0,68.38,0.0,0.0,0.0,-40.0,-3.0,0.0
28,436,10,0,3,2.83,3.22,0.28,10,0,2,10,0,0,0.0,80.4,0.0,0.0,-0.1,-40.0,-12.0,0.0
29,406,10,0,3,2.354,2.62,1.1,14,0,2,10,0,0,0.0,77.18,0.0,0.0,-0.14,-40.0,-13.5,0.0
30,550,10,0,0,6.015,9.08,5.25,35,2,5,0,0,1,0.05714,110.0,8.0,0.0,-0.35,0.0,-37.5,-20.0
31,514,10,0,0,4.234,8.35,3.26,106,2,5,9,0,1,0.01887,97.4,8.0,0.0,-1.06,-36.0,-24.0,-2.0
32,649,10,0,0,7.661,17.03,5.03,153,5,5,7,0,1,0.03268,119.14,20.0,0.0,-1.53,-28.0,-27.0,-6.0
33,515,10,0,0,3.499,4.55,2.06,115,0,5,4,0,1,0.0,95.64,0.0,0.0,-1.15,-16.0,-31.5,-12.0
34,443,10,0,4,2.256,4.11,1.38,20,0,1,10,0,0,0.0,70.26,0.0,0.0,-0.2,-40.0,-7.5,0.0
35,308,10,0,4,1.228,1.3,1.22,11,0,1,10,0,0,0.0,53.14,0.0,0.0,-0.11,-40.0,-0.75,0.0
36,542,10,0,0,3.893,7.01,3.16,53,1,5,8,0,1,0.01887,90.96,4.0,0.0,-0.53,-32.0,-19.5,-4.0
37,607,10,0,0,5.218,10.18,2.74,168,1,5,4,0,1,0.00595,106.36,4.0,0.0,-1.68,-16.0,-28.5,-12.0
