generation,frames,population_size,survivors_at_end,lives_remaining,avg_fitness,best_fitness,worst_fitness,shots_fired,kills,enemy_escapes,player_deaths,wave_clears,level_failures,kill_per_shot,survival_reward_total,kill_reward_total,wave_clear_reward_total,shot_penalty_total,death_penalty_total,enemy_escape_penalty_total,level_fail_penalty_total
0,1361,10,0,0,-2.579,49.64,-18.08,184,7,5,9,1,1,0.03804,49.13,104.0,36.0,-0.92,-180.0,-30.0,-4.0
1,1166,10,0,5,-1.32,25.73,-10.845,267,8,0,10,1,0,0.02996,52.135,96.0,40.0,-1.335,-200.0,0.0,0.0
2,1581,10,0,1,12.224,46.33,-18.495,274,17,4,10,2,0,0.06204,63.61,224.0,72.0,-1.37,-200.0,-36.0,0.0
3,1333,10,0,0,0.326,57.46,-17.89,186,7,5,8,1,1,0.03763,40.19,104.0,28.0,-0.93,-150.0,-10.0,-8.0
4,1294,10,0,0,6.442,30.225,-13.775,319,6,5,3,1,1,0.01881,61.015,92.0,36.0,-1.595,-50.0,-45.0,-28.0
5,1572,10,0,0,11.2965,66.505,-18.56,351,12,5,6,1,1,0.03419,64.72,164.0,32.0,-1.755,-100.0,-30.0,-16.0
6,1647,10,0,0,7.612,38.96,-14.57,340,6,5,3,1,1,0.01765,66.82,92.0,36.0,-1.7,-50.0,-39.0,-28.0
7,1146,10,0,0,4.2645,32.535,-19.045,344,4,5,2,1,1,0.01163,52.365,68.0,32.0,-1.72,-30.0,-46.0,-32.0
8,1250,10,0,0,9.5205,45.04,-9.22,368,7,5,2,1,1,0.01902,55.045,104.0,32.0,-1.84,-20.0,-42.0,-32.0
9,1130,10,0,0,11.0665,32.46,-13.855,325,10,5,3,1,1,0.03077,55.29,140.0,40.0,-1.625,-50.0,-45.0,-28.0
10,1678,10,0,1,-4.4625,19.73,-15.865,432,4,4,10,1,0,0.00926,71.535,68.0,36.0,-2.16,-180.0,-38.0,0.0
11,915,10,0,3,-9.624,15.84,-23.89,146,4,2,10,1,0,0.0274,38.49,48.0,24.0,-0.73,-190.0,-16.0,0.0
12,1193,10,0,0,9.4505,48.765,-22.845,186,9,5,3,1,1,0.04839,48.435,128.0,32.0,-0.93,-50.0,-35.0,-28.0
13,677,10,0,0,-4.53,6.27,-5.73,230,1,5,0,0,1,0.00435,33.85,12.0,0.0,-1.15,0.0,-50.0,-40.0
14,1375,10,0,0,18.784,57.645,1.645,442,13,5,1,1,1,0.02941,68.05,176.0,40.0,-2.21,-10.0,-48.0,-36.0
15,967,10,0,0,10.3165,43.67,-9.945,296,8,5,1,1,1,0.02703,45.645,116.0,36.0,-1.48,-10.0,-47.0,-36.0
16,1081,10,0,0,13.395,56.22,-8.645,299,11,5,2,1,1,0.03679,49.445,152.0,36.0,-1.495,-30.0,-40.0,-32.0
17,1138,10,0,0,13.3055,48.5,0.5,369,9,5,0,1,1,0.02439,56.9,128.0,40.0,-1.845,0.0,-50.0,-40.0
18,536,10,0,0,-3.985,5.59,-6.41,130,2,5,0,0,1,0.01538,26.8,24.0,0.0,-0.65,0.0,-50.0,-40.0
19,1211,10,0,0,12.6715,38.82,0.85,340,9,5,1,1,1,0.02647,57.415,128.0,36.0,-1.7,-10.0,-47.0,-36.0
20,1002,10,0,0,10.24,35.84,-0.16,340,7,5,0,1,1,0.02059,50.1,104.0,40.0,-1.7,0.0,-50.0,-40.0
21,898,10,0,0,9.3275,55.34,-8.73,255,8,5,2,1,1,0.03137,38.55,116.0,32.0,-1.275,-20.0,-40.0,-32.0
22,1260,10,0,0,-2.4245,33.09,-18.305,272,2,5,6,1,1,0.00735,43.115,44.0,20.0,-1.36,-80.0,-34.0,-16.0
23,1709,10,0,0,-1.436,47.26,-17.745,247,4,5,6,1,1,0.01619,48.875,68.0,16.0,-1.235,-110.0,-20.0,-16.0
24,594,10,0,0,-6.287,5.87,-19.845,166,1,5,1,0,1,0.00602,28.96,12.0,0.0,-0.83,-20.0,-47.0,-36.0
25,1012,10,0,0,7.9585,43.89,-0.11,203,5,5,0,1,1,0.02463,50.6,80.0,40.0,-1.015,0.0,-50.0,-40.0
26,704,10,0,0,-1.977,18.4,-5.6,194,3,5,0,0,1,0.01546,35.2,36.0,0.0,-0.97,0.0,-50.0,-40.0
27,715,10,0,0,-1.9195,6.455,-5.545,189,3,5,0,0,1,0.01587,35.75,36.0,0.0,-0.945,0.0,-50.0,-40.0
28,1137,10,0,0,4.4685,32.5,-17.625,283,4,5,2,1,1,0.01413,51.1,68.0,32.0,-1.415,-30.0,-43.0,-32.0
29,1113,10,0,0,6.5625,32.495,-6.14,272,5,5,1,1,1,0.01838,52.985,80.0,36.0,-1.36,-20.0,-46.0,-36.0
0,14243,10,0,1,-4.141,9.70333,-15.42667,289,14,106,11,0,19,0.04844,71.215,168.0,0.0,-1.445,-180.0,-106.0,-76.0
1,15090,10,0,1,-0.29483,12.755,-12.47333,459,22,122,9,0,21,0.04793,75.45,264.0,0.0,-2.295,-140.0,-122.0,-84.0
2,15475,10,0,2,2.57717,13.95167,-7.39667,412,30,100,13,0,17,0.07282,77.375,360.0,0.0,-2.06,-190.0,-100.0,-68.0
3,15653,10,0,1,2.03517,13.81,-7.48,442,27,121,8,0,22,0.06109,78.265,324.0,0.0,-2.21,-130.0,-121.0,-88.0
4,13209,10,0,2,-1.94017,17.225,-16.06167,250,20,89,14,0,16,0.08,66.045,240.0,0.0,-1.25,-210.0,-89.0,-64.0
5,15542,10,0,2,1.07817,17.53667,-10.55833,473,28,101,13,0,17,0.0592,77.71,336.0,0.0,-2.365,-210.0,-101.0,-68.0
